text,label
"This product exceeded my expectations. I'm very happy with it.",1
"The customer service was excellent. They were very helpful and responsive.",1
"I can't recommend this enough! It's a fantastic product.",1
"Terrible experience. The product arrived damaged and the company wouldn't refund me.",0
"Absolutely awful quality. I regret buying this product.",0
"The worst customer service I've ever encountered. They were rude and unhelpful.",0
"Congratulations! You've won a $100 gift card. Click the link to claim your prize.",0
"URGENT: You're the lucky winner of a brand new iPhone X. Reply 'YES' to claim it.",0
"I received my order on time, and it's in perfect condition. Great job!",1
"This restaurant has the best food in town. I'll definitely be coming back.",1
"The delivery was delayed, and the product was damaged when it arrived. Very disappointed.",0
"Outstanding service. The staff went above and beyond to assist me.",1
"I'm so happy with my purchase. It's exactly what I was looking for.",1
"Stay away from this company. They sell low-quality products and have terrible customer support.",0
"I love this app! It's user-friendly and has great features.",1
